30712,42884;;Worst;Best;AVG;STD
30822,00941;;;;;
31195,65988;;;;;
27359,84814;;;;;
32182,16604;;;;;
31246,45067;;;;;
27505,42207;;;;;
29471,51134;;;;;
33164,42459;;;;;
29819,89122;;;;;
30204,18106;;;;;
30438,56638;;;;;
28715,145;;;;;
28438,2295;;;;;
30419,7894;;;;;
31931,90824;;;;;
32025,32196;;;;;
26808,84613;;;;;
28565,363;;;;;
31428,96073;;;;;
31463,9315;;;;;
32742,26717;;;;;
28895,00639;;;;;
31467,65466;;;;;
30699,99954;;;;;
29806,47232;;;;;
32555,60618;;;;;
30824,63216;;;;;
32209,85818;;;;;
29272,86013;;;;;
26475,40343;;;;;
28966,93855;;;;;
29990,2864;;;;;
28877,92627;;;;;
31474,69101;;;;;
29711,62103;;;;;
30886,74371;;;;;
29159,08886;;;;;
27710,26922;;;;;
30875,30756;;;;;
29676,15157;;;;;
30113,63838;;;;;
29394,62038;;;;;
29816,46129;;;;;
30993,3811;;;;;
28076,97789;;;;;
29675,51703;;;;;
32393,41829;;;;;
29685,38159;;;;;
32176,78214;;;;;
31981,02552;;;;;
30866,20845;;;;;
28991,83037;;;;;
30628,92622;;;;;
29472,01147;;;;;
31789,58177;;;;;
29695,42035;;;;;
28955,57529;;;;;
28435,8133;;;;;
28065,35851;;;;;
30127,49244;;;;;
29758,6647;;;;;
29474,21082;;;;;
28416,66502;;;;;
29906,27267;;;;;
30573,41953;;;;;
31519,88444;;;;;
32005,42854;;;;;
29421,14618;;;;;
29704,90056;;;;;
28017,38412;;;;;
28825,35041;;;;;
26097,01455;;;;;
28394,76086;;;;;
27032,2405;;;;;
31090,20963;;;;;
29307,74676;;;;;
28204,87091;;;;;
29285,35428;;;;;
31278,96891;;;;;
32270,49517;;;;;
28914,25691;;;;;
28659,55014;;;;;
28955,46246;;;;;
28361,36856;;;;;
30689,30494;;;;;
29009,89436;;;;;
27957,86698;;;;;
31287,86631;;;;;
29864,78273;;;;;
28779,64786;;;;;
31613,50218;;;;;
28212,33059;;;;;
30847,9131;;;;;
28475,25659;;;;;
27884,07158;;;;;
29547,25454;;;;;
30836,0583;;;;;
28134,28094;;;;;
30070,64744;;;;;
28857,36633;;;;;
30787,13224;;;;;
31883,51081;;;;;
32523,81139;;;;;
30598,71783;;;;;
28832,23065;;;;;
27707,89603;;;;;
30864,61641;;;;;
33548,47787;;;;;
29958,68688;;;;;
29248,23866;;;;;
30840,60728;;;;;
29061,08127;;;;;
30207,62564;;;;;
26813,31444;;;;;
31075,33305;;;;;
28614,84917;;;;;
30312,78366;;;;;
30405,69899;;;;;
29024,30399;;;;;
31663,46981;;;;;
29398,24345;;;;;
31188,88644;;;;;
31512,29212;;;;;
29871,33466;;;;;
29224,56552;;;;;
27890,97078;;;;;
32598,70902;;;;;
29835,92399;;;;;
29782,32317;;;;;
29378,0069;;;;;
28078,53456;;;;;
31838,4858;;;;;
29031,71165;;;;;
28398,20818;;;;;
30913,18446;;;;;
30884,25022;;;;;
30864,57063;;;;;
29793,07532;;;;;
29278,43742;;;;;
30639,20554;;;;;
28564,26202;;;;;
31465,71764;;;;;
29716,46516;;;;;
27523,10456;;;;;
31677,75154;;;;;
25765,29242;;;;;
29024,71367;;;;;
27586,24738;;;;;
28729,93671;;;;;
33141,37943;;;;;
30191,10104;;;;;
28085,4083;;;;;
31286,06226;;;;;
31872,65437;;;;;
32712,24092;;;;;
30417,5712;;;;;
29877,30379;;;;;
30924,28942;;;;;
31344,93503;;;;;
27068,31937;;;;;
31395,78821;;;;;
29932,25926;;;;;
27951,38953;;;;;
32381,79185;;;;;
31097,1105;;;;;
29218,4255;;;;;
30520,85682;;;;;
32579,93507;;;;;
30181,49827;;;;;
30851,06109;;;;;
31383,59352;;;;;
30959,89516;;;;;
28381,99294;;;;;
29147,27015;;;;;
31753,56147;;;;;
31319,27049;;;;;
30068,3321;;;;;
27615,27904;;;;;
30168,09474;;;;;
29622,74935;;;;;
27474,34037;;;;;
31167,84835;;;;;
30085,90587;;;;;
28344,57711;;;;;
28806,16157;;;;;
31547,313;;;;;
29615,04378;;;;;
30215,76124;;;;;
29286,64022;;;;;
26702,4296;;;;;
29961,56503;;;;;
31695,46116;;;;;
30692,11642;;;;;
28433,84109;;;;;
